IMEI,Maker,Model,Color,Color Temp,Lux,R,G,B,C,Red,Green,Blue
,PostCards,Pantone,100,3361,9634,13826,12264,7151,34177,103,91,53
,PostCards,Pantone,12-0727,3205,8758,13622,11359,6487,32273,107,89,51
,PostCards,Pantone,13-0850,3015,7828,13021,10213,5553,29440,112,88,48
,PostCards,Pantone,7548,2602,6595,12695,8662,4037,25885,125,85,39
,PostCards,Pantone,108,2742,8909,13844,10769,4910,30270,116,90,41
,PostCards,Pantone,14-0852,2683,6940,13096,9151,4442,27190,122,85,41
,PostCards,Pantone,14-0848,3067,6401,11463,8752,5043,25729,113,86,49
,PostCards,Pantone,142,2836,4751,11875,7542,4505,24183,125,79,47
,PostCards,Pantone,9180,3972,3215,5643,4971,3824,14723,95,86,66
,PostCards,Pantone,14-1119,3568,5059,11430,8586,6533,26915,108,81,61
,PostCards,Pantone,15-1247,2674,2035,10681,5166,3621,19398,140,67,47
,PostCards,Pantone,16-1255,2512,1858,10110,4653,3010,17672,145,67,43
,PostCards,Pantone,152,2337,248,10138,3471,2649,15912,162,55,42
,PostCards,Pantone,166,2300,65369,7446,2303,1892,11340,167,51,42
,PostCards,Pantone,18-1248,2669,473,5761,2412,1999,9976,147,61,51
,PostCards,Pantone,19-1250,2874,459,3668,1722,1459,6746,138,65,55
,PostCards,Pantone,13-1107,4337,5847,10734,9762,8301,29297,93,84,72
,PostCards,Pantone,7590,3751,3273,8795,6410,5449,20818,107,78,66
,PostCards,Pantone,17-1436,2901,805,5103,2509,2046,9580,135,66,54
,PostCards,Pantone,7415,3361,3184,11301,7053,5846,24344,118,73,61
,PostCards,Pantone,17-1456,2454,65249,9563,3083,2799,15083,161,52,47
,PostCards,Pantone,17-1564,2357,64773,9202,2563,2489,13839,169,47,45
,PostCards,Pantone,485,2163,64048,8854,1811,2012,12134,185,38,42
,PostCards,Pantone,19-4305,3937,525,1463,1090,984,3499,106,79,71
,PostCards,Pantone,7,4853,2501,4313,4290,3920,12697,86,86,78
,PostCards,Pantone,2,4438,5934,9732,9372,7785,27468,90,86,72
,PostCards,Pantone,17-1210,4117,2918,5181,4634,3708,13774,95,85,68
,PostCards,Pantone,414,4569,3901,6207,6150,5178,17873,88,87,73
,PostCards,Pantone,13-5304,4082,5274,9861,8601,6967,25831,97,84,68
,PostCards,Pantone,476,3561,586,1771,1206,1014,3966,112,77,65
,PostCards,Pantone,16-1439,2975,2206,7328,4320,3051,14687,127,75,52
,PostCards,Pantone,4685,3747,5166,10581,8484,6544,26029,103,83,64
,PostCards,Pantone,732,3374,637,2037,1316,1064,4402,117,76,61
,PostCards,Pantone,16-1432,2779,1076,5674,2825,2105,10486,137,68,51
,PostCards,Pantone,466,3328,4098,8212,6222,4175,18868,110,84,56
,PostCards,Pantone,4545,3829,7218,11100,10151,7104,29012,97,89,62
,PostCards,Pantone,15-0942,2928,2978,5523,4057,2229,11918,117,87,47
,PostCards,Pantone,605,2788,8018,11436,9378,4196,25702,113,93,41
,PostCards,Pantone,600,3536,9689,13596,12485,7655,34654,99,91,56
,PostCards,Pantone,3985,3065,3142,4792,3953,2106,11044,110,91,48
,PostCards,Pantone,15-0543,3028,6085,7811,7019,3357,18547,107,96,46
,PostCards,Pantone,394,2991,9918,12523,11300,5262,29961,106,96,44
,PostCards,Pantone,583,3223,7179,7804,7895,3754,19963,99,100,47
,PostCards,Pantone,13-0645,3206,8995,11048,10413,5264,27463,102,96,48
,PostCards,Pantone,12-0524,3689,8784,11878,11331,7165,31162,97,92,58
,PostCards,Pantone,383,3161,5698,6134,6194,2851,15572,100,101,46
,PostCards,Pantone,7493,4082,6677,7900,8443,5580,22425,89,96,63
,PostCards,Pantone,12-0313,4458,7823,9565,10495,7700,28424,85,94,69
,PostCards,Pantone,11-4804,4612,8088,12718,12728,10755,37035,87,87,74
,PostCards,Pantone,18-0119,4426,2041,2493,2727,1986,7232,87,96,70
,PostCards,Pantone,7737,4143,4535,3443,4735,2487,10867,80,111,58
,PostCards,Pantone,15-6437,4479,4974,3988,5471,3233,12940,77,108,63
,PostCards,Pantone,345,5509,6583,6120,8498,6616,21674,71,99,77
,PostCards,Pantone,19-6110,4379,713,1547,1333,1214,4089,96,83,75
,PostCards,Pantone,350,4558,1042,1446,1515,1202,4164,88,92,73
,PostCards,Pantone,7726,5863,2890,1732,3130,2033,6955,63,114,74
,PostCards,Pantone,9041,4647,7767,10740,11387,9179,32085,85,90,72
,PostCards,Pantone,18-5621,6168,1814,2043,2758,2562,7380,70,95,88
,PostCards,Pantone,5555,5063,2418,3189,3614,3074,10004,81,92,78
,PostCards,Pantone,12-5204,5176,7806,9781,11464,9717,31675,78,92,78
,PostCards,Pantone,17-5722,6145,2820,2615,3838,3263,9784,68,99,85
,PostCards,Pantone,3278,7717,4512,2027,4837,3366,10315,50,119,83
,PostCards,Pantone,7720,6654,1392,1337,2014,1847,5225,64,98,90
,PostCards,Pantone,15-5210,5821,4461,5450,6886,6337,18957,73,92,85
,PostCards,Pantone,9044,5335,7761,9673,11551,10015,31955,77,92,79
,PostCards,Pantone,18-4525,10896,2623,1936,4300,4830,11136,44,98,110
,PostCards,Pantone,14-4516,6385,5580,6370,8718,8350,23846,68,93,89
,PostCards,Pantone,635,5958,7130,8476,10973,10161,30248,71,92,85
,PostCards,Pantone,19-3921,5118,512,1544,1343,1511,4374,90,78,88
,PostCards,Pantone,18-4530,8834,1338,1596,2622,3118,7353,55,90,108
,PostCards,Pantone,18-4330,11945,2185,2028,4407,5618,12110,42,92,118
,PostCards,Pantone,291,7049,5003,6448,8937,9576,25377,64,89,96
,PostCards,Pantone,19-3935,5396,339,1873,1513,1968,5304,90,72,94
,PostCards,Pantone,277,6134,4757,7146,8610,8897,25046,72,87,90
,PostCards,Pantone,656,5188,7535,11636,12546,11598,36564,81,87,80
,PostCards,Pantone,5405,5144,766,1845,1708,1818,5348,87,81,86
,PostCards,Pantone,17-4021,5599,2796,4090,4708,4518,13433,77,89,85
,PostCards,Pantone,535,5704,2637,5135,5423,5813,16538,79,83,89
,PostCards,Pantone,15-2706,4097,4440,8668,7452,6158,22589,97,84,69
,PostCards,Pantone,14-3612,5055,2951,7888,7010,7586,22680,88,78,85
,PostCards,Pantone,19-3438,4143,65354,2848,1433,2076,6224,116,58,84
,PostCards,Pantone,5125,3931,261,2041,1221,1370,4576,113,68,76
,PostCards,Pantone,7654,4185,928,6088,3915,4474,14409,107,69,79
,PostCards,Pantone,18-3025,4223,44,5076,2831,3792,11561,111,62,83
,PostCards,Pantone,18-2326,2983,65508,1703,673,735,3030,149,47,66
,PostCards,Pantone,9320,4229,2174,5751,4547,4284,14752,97,78,74
,PostCards,Pantone,19-2025,3069,61,3243,1386,1466,5960,138,59,62
,PostCards,Pantone,214,2481,64058,7719,1749,2368,11390,172,39,53
,PostCards,Pantone,15-1816,3380,2631,11570,6849,6043,24543,120,71,62
,PostCards,Pantone,677,4423,4998,11963,10043,9522,32015,95,79,75
,PostCards,Pantone,199,2112,64030,8345,1598,1803,11198,190,36,40
,PostCards,Pantone,493,3251,1034,9516,4780,4674,18862,128,64,63
,PostCards,Pantone,14-1911,3750,3173,11976,7914,7418,27495,111,73,68
,PostCards,Pantone,691,4088,5770,12793,10488,9059,32882,99,81,70
,PostCards,Pantone,17-1524,2923,1130,6636,3337,2708,12548,134,67,55
,PostCards,Pantone,9241,4112,6203,12774,10788,9123,33260,97,82,69
,PostCards,Pantone,16-1329,2934,234,895,503,368,1747,136,65,54
,PostCards,Pantone,1797,2228,64590,6904,1591,1662,9786,180,41,42
,PostCards,Pantone,14-1419,3250,2091,6971,4337,3403,14807,119,74,58
,PostCards,Pantone,14-1513,3034,1677,10656,5395,4615,20603,131,66,57
