IMEI,Maker,Model,Color,Color Temp,Lux,R,G,B,C,Red,Green,Blue
,PostCards,Pantone,14-1513,2977,1774,11235,5665,4808,21263,134,67,57
,PostCards,Pantone,14-1419,3222,3680,12327,7650,6001,25688,122,75,59
,PostCards,Pantone,1797,2223,64592,7265,1724,1785,10270,180,42,44
,PostCards,Pantone,16-1329,2847,1402,10540,4988,4165,19254,139,66,55
,PostCards,Pantone,9241,4049,6602,13647,11410,9531,34532,100,84,70
,PostCards,Pantone,17-1524,2861,1120,6762,3358,2711,12503,137,68,55
,PostCards,Pantone,691,4023,6013,13381,10856,9259,33398,102,82,70
,PostCards,Pantone,14-1911,3676,3223,12124,7938,7336,27078,114,74,69
,PostCards,Pantone,493,3177,1094,9951,4957,4781,19252,131,65,63
,PostCards,Pantone,199,2083,63973,8649,1649,1856,11459,192,36,41
,PostCards,Pantone,677,4337,5162,12346,10244,9561,32026,98,81,76
,PostCards,Pantone,15-1816,3313,2711,11996,7034,6143,24808,123,72,63
,PostCards,Pantone,214,2434,64044,7999,1817,2410,11620,175,39,52
,PostCards,Pantone,19-2025,2989,68,3435,1448,1506,6165,142,59,62
,PostCards,Pantone,9320,4229,5122,13131,10493,9805,33257,100,80,75
,PostCards,Pantone,18-2326,2957,64712,5654,1776,2449,9454,152,47,66
,PostCards,Pantone,18-3025,4124,105,5471,3034,3972,12142,114,63,83
,PostCards,Pantone,7654,4049,710,4541,2870,3204,10383,111,70,78
,PostCards,Pantone,5125,3846,312,2364,1402,1548,5177,116,69,76
,PostCards,Pantone,19-3438,4022,65367,3003,1488,2109,6374,120,59,84
,PostCards,Pantone,14-3612,4931,3055,8095,7093,7530,22500,91,80,85
,PostCards,Pantone,15-2706,4035,4923,9673,8231,6733,24507,100,85,70
,PostCards,Pantone,535,5575,2732,5273,5498,5784,16409,81,85,89
,PostCards,Pantone,17-4021,5523,3288,4757,5452,5154,15218,79,91,86
,PostCards,Pantone,5405,5058,811,1926,1771,1856,5446,90,82,86
,PostCards,Pantone,656,5078,7629,11848,12589,11468,35974,83,89,81
,PostCards,Pantone,277,6018,5384,7998,9557,9705,27183,75,89,91
,PostCards,Pantone,19-3935,5239,378,1923,1536,1942,5279,92,73,93
,PostCards,Pantone,291,6888,5485,7007,9596,10091,26609,67,91,96
,PostCards,Pantone,18-4330,11918,2332,2104,4540,5671,12153,44,95,119
,PostCards,Pantone,18-4530,8776,1425,1649,2700,3143,7378,57,93,108
,PostCards,Pantone,19-3921,5001,527,1554,1338,1475,4280,92,79,87
,PostCards,Pantone,635,5822,7367,8822,11240,10260,30354,74,94,86
,PostCards,Pantone,14-4516,6230,5555,6398,8600,8118,23054,70,95,89
,PostCards,Pantone,18-4525,10778,2670,1967,4298,4747,10876,46,100,111
,PostCards,Pantone,9044,5228,8066,10149,11938,10222,32389,79,93,80
,PostCards,Pantone,15-5210,5708,4785,5867,7319,6642,19735,75,94,85
,PostCards,Pantone,7720,6622,1501,1417,2140,1935,5433,66,100,90
,PostCards,Pantone,3278,7657,4414,2025,4741,3294,9946,51,121,84
,PostCards,Pantone,17-5722,6056,2947,2752,3990,3356,9975,70,101,85
,PostCards,Pantone,12-5204,5085,8388,10578,12247,10257,33168,81,94,78
,PostCards,Pantone,5555,4969,2404,3193,3572,3001,9699,83,93,78
,PostCards,Pantone,18-5621,6099,1836,2060,2762,2533,7245,72,97,89
,PostCards,Pantone,9041,4571,8185,11432,11962,9542,33073,88,92,73
,PostCards,Pantone,7726,5772,2878,1743,3109,1999,6777,65,116,75
,PostCards,Pantone,350,4499,1072,1484,1549,1217,4182,90,94,74
,PostCards,Pantone,19-6110,4286,770,1649,1413,1263,4244,99,84,75
,PostCards,Pantone,345,5408,6803,6422,8771,6771,21966,74,101,78
,PostCards,Pantone,15-6437,4495,6556,5194,7185,4232,16615,79,110,64
,PostCards,Pantone,7737,4124,5455,4166,5701,2992,12839,82,113,59
,PostCards,Pantone,18-0119,4354,2095,2595,2803,2030,7322,90,97,70
,PostCards,Pantone,11-4804,4536,8296,13161,13002,10866,37134,90,89,74
,PostCards,Pantone,12-0313,4395,7937,9855,10660,7772,28369,88,95,69
,PostCards,Pantone,7493,4037,6802,8230,8653,5716,22646,92,97,64
,PostCards,Pantone,383,3152,5638,6241,6194,2885,15396,103,102,47
,PostCards,Pantone,12-0524,3654,8872,12262,11522,7286,31225,100,94,59
,PostCards,Pantone,13-0645,3193,9148,11535,10700,5458,27882,105,97,49
,PostCards,Pantone,583,3204,6938,7764,7707,3696,19279,102,101,48
,PostCards,Pantone,394,2995,10391,13458,11980,5668,31373,109,97,46
,PostCards,Pantone,15-0543,3019,6001,7941,7010,3395,18348,110,97,47
,PostCards,Pantone,3985,3048,3185,4977,4048,2169,11182,113,92,49
,PostCards,Pantone,600,3510,10118,14466,13119,8049,35878,102,93,57
,PostCards,Pantone,605,2794,8269,12117,9801,4463,26563,116,94,42
,PostCards,Pantone,15-0942,2901,4350,8142,5946,3267,17223,120,88,48
,PostCards,Pantone,4545,3787,7429,11616,10484,7306,29484,100,90,63
,PostCards,Pantone,466,3290,4149,8466,6339,4246,18952,113,85,57
,PostCards,Pantone,16-1432,2739,1096,5898,2919,2180,10708,140,69,51
,PostCards,Pantone,732,3291,658,2106,1348,1073,4437,121,77,61
,PostCards,Pantone,4685,3701,5527,11457,9088,6964,27426,106,84,64
,PostCards,Pantone,16-1439,2919,2250,7649,4461,3152,14981,130,75,53
,PostCards,Pantone,476,3513,676,2033,1381,1152,4477,115,78,65
,PostCards,Pantone,13-5304,4027,5707,10744,9280,7449,27378,100,86,69
,PostCards,Pantone,414,4503,4279,6819,6698,5572,19075,91,89,74
,PostCards,Pantone,17-1210,4059,3146,5617,4974,3936,14510,98,87,69
,PostCards,Pantone,2,4371,6120,10120,9630,7916,27693,93,88,72
,PostCards,Pantone,7,4761,2543,4411,4330,3906,12585,89,87,79
,PostCards,Pantone,19-4305,3802,535,1502,1096,965,3485,109,79,70
,PostCards,Pantone,485,2146,63977,9344,1924,2135,12699,187,38,42
,PostCards,Pantone,17-1564,2322,64744,9658,2690,2600,14313,172,47,46
,PostCards,Pantone,17-1456,2418,65226,10470,3372,3052,16267,164,52,47
,PostCards,Pantone,7415,3308,3381,12069,7477,6151,25390,121,75,61
,PostCards,Pantone,17-1436,2832,863,5571,2705,2183,10216,139,67,54
,PostCards,Pantone,7590,3693,3664,9857,7134,6005,22754,110,79,67
,PostCards,Pantone,13-1107,4275,6290,11607,10452,8797,30789,96,86,72
,PostCards,Pantone,19-1250,2824,476,3784,1771,1490,6833,141,66,55
,PostCards,Pantone,18-1248,2613,473,5991,2478,2040,10163,150,62,51
,PostCards,Pantone,166,2264,65270,10374,3178,2616,15552,170,52,42
,PostCards,Pantone,152,2297,221,10766,3650,2793,16602,165,56,42
,PostCards,Pantone,16-1255,2472,1935,10820,4947,3224,18564,148,67,44
,PostCards,Pantone,15-1247,2630,2152,11548,5548,3901,20567,143,68,48
,PostCards,Pantone,14-1119,3525,5273,12060,8970,6789,27668,111,82,62
,PostCards,Pantone,9180,4009,9006,15145,13648,10409,39317,98,88,67
,PostCards,Pantone,142,2813,5154,13145,8276,4974,26188,127,80,48
,PostCards,Pantone,14-0848,3055,6893,12595,9514,5511,27587,116,87,50
,PostCards,Pantone,14-0852,2685,7270,14059,9716,4783,28533,125,86,42
,PostCards,Pantone,108,2749,9299,14837,11397,5291,31673,119,91,42
,PostCards,Pantone,7548,2613,7033,13860,9374,4457,27665,127,86,41
,PostCards,Pantone,13-0850,3012,8476,14388,11170,6124,31753,115,89,49
,PostCards,Pantone,12-0727,3194,9365,14849,12247,7028,34282,110,91,52
,PostCards,Pantone,100,3347,10598,15473,13582,7945,37249,105,92,54
